     Original    Sqaure    Square Rooted
1.   412    169744     2.0297783130184438E+001
2.   4314    18610596     6.5681047494692109E+001
3.   21    441     4.5825756949558398E+000
4.   4214    17757796     6.4915329468469920E+001
5.   12    144     3.4641016151377544E+000
6.   4124    17007376     6.4218377432009291E+001
7.   312    97344     1.7663521732655695E+001
8.   412    169744     2.0297783130184438E+001
9.   4123    16999129     6.4210591026714582E+001
10.   412    169744     2.0297783130184438E+001
